id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-007 40 NA NA 2006-08-18 Female 2006 A SR/PW/TB 2004 FALSE 0 0 0 -1.55190496324488 -0.550681190630199 CN06-007 2 1 0 1 8 2006-01-01 229 85 3 6.4 1.62162162162162 1.26315789473684 -1.08545443027011 1.32116301958908 0.813008130081301 0.123210589816177 -0.0861752719268112 1.26348346111134
CN06-007 41 NA NA 2006-09-12 Female 2006 A SR/MW 2004 FALSE 0 0 0 -1.55190496324488 -0.301162998412711 CN06-007 2 1 0 1 8 2006-01-01 254 110 3 6.4 1.62162162162162 1.26315789473684 -0.199272601453392 0.277744336420216 0.813008130081301 0.852826458212155 0.800420797076324 1.27618069528522
CN06-007 40 NA NA 2006-09-13 Female 2006 A SR/MW 2004 FALSE 0 0 0 -1.55190496324488 -0.301162998412711 CN06-007 2 1 0 1 8 2006-01-01 255 111 3 6.4 1.62162162162162 1.26315789473684 -0.199272601453392 0.277744336420216 0.813008130081301 0.882011092947994 0.840613152204466 1.26990133520876
CN06-007 40 NA NA 2006-09-21 Female 2006 A PW/SR 2004 FALSE 0 0 0 -1.46940665161812 -0.800199382847688 CN06-007 2 1 0 1 8 2006-01-01 263 119 3 6.4 1.62162162162162 1.26315789473684 -1.38084837320901 2.01677547503498 0.813008130081301 1.11548817083471 1.1752463351718 1.27657204346624
CN06-007 35 NA NA 2006-09-22 Female 2006 A PW/SR 2004 FALSE 0 0 0 -1.46940665161812 -0.800199382847688 CN06-007 2 1 0 1 8 2006-01-01 264 120 3 6.4 1.62162162162162 1.26315789473684 -1.38084837320901 2.01677547503498 0.813008130081301 1.14467280557055 1.2187122757855 1.26900728173718
CN06-007 44 119 59 2007-06-12 Female 2007 A PW 2004 FALSE 0 0 0 -1.46940665161812 -1.04971757506518 CN06-007 3 0 1 6 8 2007-01-01 162 18 6 0 3.44827586206897 1.26315789473684 -0.790060487331203 -0.0700618913027372 5.08474576271187 -1.83215993748504 -1.34123157391463 1.27066525703596
CN06-007 44 117 62 2007-06-13 Female 2007 A PW 2004 FALSE 0 0 0 -1.63440327487163 -0.301162998412711 CN06-007 3 0 1 6 8 2007-01-01 163 19 6 0 3.44827586206897 1.26315789473684 -0.494666544392298 -0.0700618913027372 5.08474576271187 -1.8029753027492 -1.33450253708323 1.26507523371854
CN06-007 48 119 62 2007-06-19 Female 2007 A PW 2004 FALSE 0 0 0 -1.46940665161812 -1.04971757506518 CN06-007 3 0 1 6 8 2007-01-01 169 25 6 0 3.44827586206897 1.26315789473684 -0.790060487331203 -0.0700618913027372 5.08474576271187 -1.62786749433417 -1.28648994996182 1.26375851655633
CN06-007 52 110 61 2007-07-17 Female 2007 A JR 2004 FALSE 0 0 0 -1.30441002836461 -0.800199382847688 CN06-007 3 0 1 6 8 2007-01-01 197 53 6 0 3.44827586206897 1.26315789473684 0.243818312954966 0.138621845331035 5.08474576271187 -0.810697721730674 -0.88929491104842 1.26681558812546
CN06-007 59 NA NA 2007-07-18 Female 2007 A PW 2004 FALSE 0 0 0 -1.46940665161812 -0.550681190630199 CN06-007 3 0 1 6 8 2007-01-01 198 54 6 0 3.44827586206897 1.26315789473684 -1.38084837320901 0.973356791866123 5.08474576271187 -0.781513086994835 -0.869835263995428 1.26743394819117
